#SA  FB
0.30082     0.30393     
0.30377     0.30384     
0.29821     0.30398     
0.30345     0.30393     
0.30232     0.30384     
0.30204     0.30386     
0.30409     0.30386     
0.29997     0.30384     
0.30261     0.30386     
0.29929     0.30401     
0.30024     0.3039      
0.301       0.30399     
0.30323     0.30392     
0.30483     0.30401     
0.2992      0.30395     
0.3046      0.30393     
0.30416     0.30386     
0.30316     0.30387     
0.30229     0.30396     
0.30276     0.30401     
0.30253     0.30404     
0.30384     0.30401     
0.30364     0.30387     
0.30276     0.30398     
0.30399     0.30392     
0.30686     0.30393     
0.3021      0.30393     
0.30065     0.30404     
0.3012      0.30392     
0.30436     0.30395     
0.30311     0.30395     
0.30329     0.30398     
0.30102     0.3039      
0.30287     0.30386     
0.2994      0.30393     
0.30103     0.30384     
0.30166     0.30395     
0.30038     0.30377     
0.30151     0.30393     
0.30142     0.30407     
0.30076     0.30395     
0.30143     0.30386     
0.30685     0.30409     
0.30218     0.30395     
0.3023      0.30395     
0.29838     0.30387     
0.30016     0.30393     
0.30142     0.30386     
0.30552     0.30392     
0.29849     0.30387     
0.30267     0.30393     
0.30105     0.30399     
0.30244     0.30399     
0.29965     0.30395     
0.3057      0.30395     
0.29943     0.30386     
0.3028      0.30389     
0.30203     0.30395     
0.30082     0.30401     
0.30514     0.30395     
0.3023      0.30395     
0.3027      0.30416     
0.30372     0.30398     
0.30493     0.30386     
0.30587     0.30383     
0.30032     0.30403     
0.30502     0.30393     
0.30264     0.3039      
0.29974     0.3038      
0.29989     0.30401     
0.30273     0.30399     
0.3038      0.30404     
0.30135     0.30404     
0.30801     0.30399     
0.30578     0.30399     
0.30561     0.3039      
0.30225     0.30393     
0.30518     0.3039      
0.30207     0.30404     
0.30244     0.30395     
0.30258     0.30398     
0.3039      0.30398     
0.30181     0.30396     
0.30201     0.30393     
0.30563     0.30396     
0.30308     0.30403     
0.30015     0.30399     
0.30413     0.30398     
0.30454     0.30396     
0.3036      0.30398     
0.29958     0.30393     
0.30247     0.30389     
0.30689     0.30403     
0.3038      0.30395     
0.303       0.30403     
0.30274     0.30393     
0.30312     0.30392     
0.30056     0.30399     
0.30509     0.30393     
0.3016      0.30401     
0.30013     0.30396     
0.30236     0.30406     
0.30291     0.30409     
0.30282     0.30392     
0.3007      0.30399     
0.30061     0.30389     
0.30148     0.30395     
0.30309     0.30395     
0.30161     0.30395     
0.30389     0.30398     
0.30172     0.30399     
0.30381     0.30398     
0.30244     0.30393     
0.30142     0.30386     
0.30099     0.30387     
0.30489     0.30395     
0.30039     0.30387     
0.30566     0.30392     
0.30543     0.30387     
0.30312     0.3039      
0.30178     0.30387     
0.30042     0.30403     
0.30088     0.30399     
0.30489     0.3039      
0.30236     0.30395     
0.30128     0.30389     
0.30303     0.3039      
0.29888     0.30384     
0.30259     0.30404     
0.30065     0.30396     
0.30145     0.30389     
