# Freq.    Mag.
0          0.000116584
0.0625     0.000113282
0.125      7.64401e-05
0.1875     2.42306e-05
0.25       7.69761e-06
0.3125     8.54999e-06
0.375      9.61281e-06
0.4375     1.14326e-05
0.5        1.34458e-05
0.5625     1.49174e-05
0.625      1.5789e-05
0.6875     1.5963e-05
0.75       1.57083e-05
0.8125     1.56775e-05
0.875      1.56086e-05
0.9375     1.53432e-05
1          1.53678e-05
1.0625     1.52228e-05
1.125      1.50504e-05
1.1875     1.49171e-05
1.25       1.53812e-05
1.3125     1.71805e-05
1.375      1.75835e-05
1.4375     1.63259e-05
1.5        1.60969e-05
1.5625     1.75195e-05
1.625      1.86537e-05
1.6875     1.93686e-05
1.75       1.93252e-05
1.8125     1.92082e-05
1.875      1.8333e-05
1.9375     1.68408e-05
2          1.64012e-05
2.0625     1.70891e-05
2.125      1.7463e-05
2.1875     1.73427e-05
2.25       1.70759e-05
2.3125     1.72179e-05
2.375      1.74334e-05
2.4375     1.77217e-05
2.5        1.80171e-05
2.5625     1.76725e-05
2.625      1.79196e-05
2.6875     1.93579e-05
2.75       2.02516e-05
2.8125     2.05562e-05
2.875      1.95221e-05
2.9375     1.64298e-05
3          1.47932e-05
3.0625     1.52082e-05
3.125      1.55717e-05
3.1875     1.56331e-05
3.25       1.57988e-05
3.3125     1.64514e-05
3.375      1.76907e-05
3.4375     1.90274e-05
3.5        1.90943e-05
3.5625     1.81137e-05
3.625      1.74284e-05
3.6875     1.76571e-05
3.75       1.7716e-05
3.8125     1.86174e-05
3.875      1.92199e-05
3.9375     1.98187e-05
4          1.94096e-05
4.0625     1.7979e-05
4.125      1.71209e-05
4.1875     1.69663e-05
4.25       1.76066e-05
4.3125     1.6603e-05
4.375      1.48976e-05
4.4375     1.45597e-05
4.5        1.51807e-05
4.5625     1.68676e-05
4.625      1.76463e-05
4.6875     1.81123e-05
4.75       1.7698e-05
4.8125     1.59654e-05
4.875      1.52948e-05
4.9375     1.59454e-05
5          1.60732e-05
5.0625     1.5712e-05
5.125      1.55339e-05
5.1875     1.60007e-05
5.25       1.70291e-05
5.3125     1.73016e-05
5.375      1.80566e-05
5.4375     1.91321e-05
5.5        1.90862e-05
5.5625     1.82985e-05
5.625      1.71004e-05
5.6875     1.70266e-05
5.75       1.73493e-05
5.8125     1.70861e-05
5.875      1.67515e-05
5.9375     1.68702e-05
6          1.71069e-05
6.0625     1.66953e-05
6.125      1.66978e-05
6.1875     1.66575e-05
6.25       1.56876e-05
6.3125     1.61417e-05
6.375      1.61728e-05
6.4375     1.54194e-05
6.5        1.63925e-05
6.5625     1.86468e-05
6.625      1.9204e-05
6.6875     1.83621e-05
6.75       1.74942e-05
6.8125     1.69654e-05
6.875      1.76752e-05
6.9375     1.85601e-05
7          1.81612e-05
7.0625     1.79488e-05
7.125      1.84404e-05
7.1875     1.82426e-05
7.25       1.77618e-05
7.3125     1.69593e-05
7.375      1.72612e-05
7.4375     1.8518e-05
7.5        1.95881e-05
7.5625     1.96619e-05
7.625      1.80801e-05
7.6875     1.62063e-05
7.75       1.62272e-05
7.8125     1.65849e-05
7.875      1.70438e-05
7.9375     1.70047e-05
8          1.72653e-05
8.0625     1.72215e-05
8.125      1.73199e-05
8.1875     1.64119e-05
8.25       1.43921e-05
8.3125     1.31813e-05
8.375      1.31075e-05
8.4375     1.3033e-05
8.5        1.28026e-05
8.5625     1.39624e-05
8.625      1.55961e-05
8.6875     1.74712e-05
8.75       1.85986e-05
8.8125     1.91811e-05
8.875      1.96908e-05
8.9375     1.86253e-05
9          1.71815e-05
9.0625     1.70173e-05
9.125      1.5796e-05
9.1875     1.43797e-05
9.25       1.5296e-05
9.3125     1.63928e-05
9.375      1.69976e-05
9.4375     1.69361e-05
9.5        1.56804e-05
9.5625     1.508e-05 
9.625      1.50455e-05
9.6875     1.48585e-05
9.75       1.57112e-05
9.8125     1.67644e-05
9.875      1.71365e-05
9.9375     1.72134e-05
10         1.69053e-05
10.0625    1.70203e-05
10.125     1.70802e-05
10.1875    1.74087e-05
10.25      1.87971e-05
10.3125    1.91494e-05
10.375     1.83497e-05
10.4375    1.76043e-05
10.5       1.67074e-05
10.5625    1.63633e-05
10.625     1.71079e-05
10.6875    1.65459e-05
10.75      1.50166e-05
10.8125    1.41102e-05
10.875     1.49495e-05
10.9375    1.66573e-05
11         1.72845e-05
11.0625    1.63963e-05
11.125     1.65461e-05
11.1875    1.68205e-05
11.25      1.68965e-05
11.3125    1.70337e-05
11.375     1.70461e-05
11.4375    1.84576e-05
11.5       1.92021e-05
11.5625    1.8702e-05
11.625     1.78451e-05
11.6875    1.73526e-05
11.75      1.73846e-05
11.8125    1.72111e-05
11.875     1.68017e-05
11.9375    1.53813e-05
12         1.43966e-05
12.0625    1.5346e-05
12.125     1.61321e-05
12.1875    1.57279e-05
12.25      1.50826e-05
12.3125    1.56329e-05
12.375     1.71345e-05
12.4375    1.77299e-05
12.5       1.67548e-05
12.5625    1.56723e-05
12.625     1.47182e-05
12.6875    1.46156e-05
12.75      1.54391e-05
12.8125    1.6101e-05
12.875     1.69421e-05
12.9375    1.7057e-05
13         1.69798e-05
13.0625    1.79548e-05
13.125     1.76687e-05
13.1875    1.65113e-05
13.25      1.49252e-05
13.3125    1.37878e-05
13.375     1.36078e-05
13.4375    1.4341e-05
13.5       1.44298e-05
13.5625    1.50803e-05
13.625     1.68726e-05
13.6875    1.82925e-05
13.75      1.80157e-05
13.8125    1.63454e-05
13.875     1.43228e-05
13.9375    1.24487e-05
14         1.14041e-05
14.0625    1.24719e-05
14.125     1.52012e-05
14.1875    1.65536e-05
14.25      1.70885e-05
14.3125    1.84479e-05
14.375     1.87214e-05
14.4375    1.76869e-05
14.5       1.6749e-05
14.5625    1.56589e-05
14.625     1.27941e-05
14.6875    1.15284e-05
14.75      1.2258e-05
14.8125    1.35639e-05
14.875     1.45202e-05
14.9375    1.45546e-05
15         1.49119e-05
15.0625    1.60758e-05
15.125     1.66129e-05
15.1875    1.58875e-05
15.25      1.44836e-05
15.3125    1.48492e-05
15.375     1.58906e-05
15.4375    1.67901e-05
15.5       1.81765e-05
15.5625    1.8458e-05
15.625     1.81493e-05
15.6875    1.79679e-05
15.75      1.82158e-05
15.8125    1.8157e-05
15.875     1.77847e-05
15.9375    1.74898e-05
16         1.73301e-05
16.0625    1.70227e-05
16.125     1.70523e-05
16.1875    1.69163e-05
16.25      1.57747e-05
16.3125    1.47007e-05
16.375     1.46268e-05
16.4375    1.49263e-05
16.5       1.40969e-05
16.5625    1.33322e-05
16.625     1.30944e-05
16.6875    1.45449e-05
16.75      1.58628e-05
16.8125    1.62502e-05
16.875     1.71179e-05
16.9375    1.70794e-05
17         1.64856e-05
17.0625    1.59472e-05
17.125     1.60625e-05
17.1875    1.65882e-05
17.25      1.67765e-05
17.3125    1.67174e-05
17.375     1.71763e-05
17.4375    1.66469e-05
17.5       1.58927e-05
17.5625    1.57474e-05
17.625     1.5945e-05
17.6875    1.55809e-05
17.75      1.48787e-05
17.8125    1.48943e-05
17.875     1.43116e-05
17.9375    1.40502e-05
18         1.4594e-05
18.0625    1.5671e-05
18.125     1.69171e-05
18.1875    1.63741e-05
18.25      1.54356e-05
18.3125    1.52572e-05
18.375     1.44423e-05
18.4375    1.43694e-05
