# Freq.    Re    Im
0.999987   -0.368507  -0.00497722
1.00576    -0.368321  -0.00480536
1.01157    -0.368136  -0.00463368
1.01741    -0.367951  -0.00446217
1.02328    -0.367766  -0.00429083
1.02919    -0.36758   -0.00411966
1.03513    -0.367395  -0.00394867
1.0411     -0.36721   -0.00377784
1.04712    -0.367025  -0.00360719
1.05316    -0.366839  -0.00343672
1.05924    -0.366655  -0.00326631
1.06536    -0.366745  -0.00353241
1.07151    -0.366835  -0.00379863
1.07769    -0.366924  -0.00406499
1.08391    -0.367013  -0.00433148
1.09017    -0.367102  -0.0045981
1.09646    -0.367191  -0.00486485
1.10279    -0.36728   -0.00513174
1.10916    -0.367369  -0.00539875
1.11556    -0.367457  -0.0056659
1.122      -0.367545  -0.00593327
1.12848    -0.367526  -0.00601398
1.135      -0.367506  -0.00609468
1.14155    -0.367487  -0.00617537
1.14814    -0.367468  -0.00625605
1.15477    -0.367448  -0.00633673
1.16143    -0.367428  -0.0064174
1.16814    -0.367409  -0.00649806
1.17488    -0.367389  -0.00657871
1.18167    -0.36737   -0.00665935
1.18849    -0.367351  -0.00673992
1.19535    -0.367353  -0.00680829
1.20225    -0.367355  -0.00687667
1.20919    -0.367357  -0.00694505
1.21617    -0.367359  -0.00701343
1.22319    -0.367361  -0.00708181
1.23025    -0.367363  -0.00715019
1.23736    -0.367365  -0.00721857
1.2445     -0.367367  -0.00728696
1.25168    -0.367369  -0.00735534
1.25891    -0.367371  -0.00742378
1.26618    -0.367348  -0.00750534
1.27349    -0.367326  -0.00758688
1.28084    -0.367303  -0.00766842
1.28823    -0.36728   -0.00774995
1.29567    -0.367258  -0.00783146
1.30315    -0.367235  -0.00791297
1.31067    -0.367212  -0.00799447
1.31824    -0.36719   -0.00807595
1.32585    -0.367167  -0.00815743
1.3335     -0.367146  -0.00823885
1.3412     -0.367151  -0.00831697
1.34895    -0.367157  -0.0083951
1.35673    -0.367162  -0.00847323
1.36457    -0.367168  -0.00855136
1.37244    -0.367173  -0.00862949
1.38037    -0.367179  -0.00870763
1.38834    -0.367184  -0.00878577
1.39635    -0.36719   -0.00886391
1.40441    -0.367195  -0.00894205
1.41252    -0.367201  -0.0090202
1.42067    -0.36716   -0.00909984
1.42888    -0.367119  -0.00917947
1.43712    -0.367078  -0.00925907
1.44542    -0.367036  -0.00933866
1.45377    -0.366995  -0.00941824
1.46216    -0.366954  -0.00949779
1.4706     -0.366913  -0.00957733
1.47909    -0.366872  -0.00965685
1.48763    -0.36683   -0.00973635
1.49622    -0.366789  -0.00981596
1.50485    -0.366795  -0.00990091
1.51354    -0.366801  -0.00998588
1.52228    -0.366807  -0.0100708
1.53107    -0.366813  -0.0101558
1.53991    -0.366819  -0.0102408
1.5488     -0.366825  -0.0103258
1.55774    -0.366831  -0.0104107
1.56673    -0.366836  -0.0104957
1.57578    -0.366842  -0.0105807
1.58487    -0.366849  -0.0106656
1.59402    -0.366889  -0.0107412
1.60322    -0.366928  -0.0108168
1.61248    -0.366968  -0.0108923
1.62179    -0.367008  -0.010968 
1.63115    -0.367048  -0.0110436
1.64057    -0.367087  -0.0111192
1.65004    -0.367127  -0.0111949
1.65957    -0.367167  -0.0112705
1.66915    -0.367206  -0.0113462
1.67878    -0.367247  -0.011422 
1.68847    -0.367233  -0.0115224
1.69822    -0.367218  -0.0116228
1.70803    -0.367204  -0.0117232
1.71789    -0.36719   -0.0118236
1.7278     -0.367175  -0.011924 
1.73778    -0.367161  -0.0120244
1.74781    -0.367147  -0.0121247
1.7579     -0.367132  -0.0122251
1.76805    -0.367118  -0.0123254
1.77826    -0.367104  -0.0124259
1.78852    -0.367226  -0.0124284
1.79885    -0.367349  -0.0124309
1.80923    -0.367471  -0.0124334
1.81968    -0.367593  -0.0124359
1.83018    -0.367716  -0.0124385
1.84075    -0.367838  -0.012441 
1.85137    -0.367961  -0.0124435
1.86206    -0.368083  -0.012446 
1.87281    -0.368206  -0.0124485
1.88362    -0.368328  -0.0124509
1.8945     -0.36819   -0.0126499
1.90544    -0.368051  -0.0128488
1.91644    -0.367913  -0.0130475
1.9275     -0.367774  -0.0132461
1.93863    -0.367635  -0.0134445
1.94982    -0.367497  -0.0136428
1.96108    -0.367358  -0.013841 
1.9724     -0.367219  -0.0140389
1.98378    -0.36708   -0.0142368
1.99524    -0.366941  -0.0144345
2.00675    -0.366949  -0.0145293
2.01834    -0.366956  -0.014624 
2.02999    -0.366964  -0.0147188
2.04171    -0.366971  -0.0148135
2.0535     -0.366979  -0.0149083
2.06535    -0.366986  -0.015003 
2.07728    -0.366994  -0.0150978
2.08927    -0.367001  -0.0151926
2.10133    -0.367009  -0.0152874
2.11346    -0.367016  -0.0153822
2.12566    -0.366986  -0.0154975
2.13793    -0.366956  -0.0156129
2.15028    -0.366926  -0.0157282
2.16269    -0.366896  -0.0158436
2.17518    -0.366866  -0.0159589
2.18773    -0.366836  -0.0160742
2.20036    -0.366805  -0.0161895
2.21307    -0.366775  -0.0163047
2.22584    -0.366745  -0.01642  
2.23869    -0.366715  -0.0165352
2.25162    -0.366743  -0.0166531
2.26461    -0.366771  -0.016771 
2.27769    -0.366798  -0.016889 
2.29084    -0.366826  -0.017007 
2.30406    -0.366854  -0.017125 
2.31736    -0.366882  -0.017243 
2.33074    -0.366909  -0.0173611
2.3442     -0.366937  -0.0174791
2.35773    -0.366964  -0.0175972
2.37134    -0.366992  -0.0177154
2.38503    -0.366969  -0.0178342
2.3988     -0.366945  -0.0179531
2.41265    -0.366921  -0.0180719
2.42658    -0.366897  -0.0181907
2.44059    -0.366873  -0.0183095
2.45468    -0.366849  -0.0184283
2.46885    -0.366825  -0.0185471
2.4831     -0.366801  -0.0186659
2.49744    -0.366777  -0.0187846
2.51185    -0.366754  -0.0189035
2.52635    -0.366778  -0.0190392
2.54094    -0.366802  -0.0191749
2.55561    -0.366826  -0.0193106
2.57036    -0.366849  -0.0194464
2.5852     -0.366873  -0.0195822
2.60013    -0.366897  -0.019718 
2.61514    -0.366921  -0.0198538
2.63023    -0.366944  -0.0199897
2.64542    -0.366968  -0.0201255
2.66069    -0.366991  -0.0202613
2.67605    -0.366979  -0.0203828
2.6915     -0.366966  -0.0205042
2.70704    -0.366954  -0.0206257
2.72267    -0.366941  -0.0207471
2.73838    -0.366929  -0.0208685
2.75419    -0.366916  -0.02099  
2.77009    -0.366904  -0.0211114
2.78608    -0.366891  -0.0212328
2.80217    -0.366878  -0.0213543
2.81835    -0.366866  -0.0214757
2.83462    -0.366866  -0.0216211
2.85098    -0.366866  -0.0217665
2.86744    -0.366866  -0.021912 
2.88399    -0.366867  -0.0220574
2.90064    -0.366867  -0.0222029
2.91739    -0.366867  -0.0223483
2.93423    -0.366866  -0.0224938
2.95117    -0.366866  -0.0226392
2.96821    -0.366866  -0.0227847
2.98534    -0.366866  -0.0229302
3.00258    -0.366863  -0.023082 
3.01991    -0.36686   -0.0232339
3.03735    -0.366858  -0.0233857
3.05488    -0.366855  -0.0235376
3.07252    -0.366852  -0.0236894
3.09025    -0.366849  -0.0238413
3.10809    -0.366845  -0.0239931
3.12604    -0.366842  -0.024145 
3.14408    -0.366839  -0.0242968
3.16224    -0.366836  -0.0244488
3.18049    -0.366883  -0.0245879
3.19885    -0.366929  -0.0247271
3.21732    -0.366976  -0.0248663
3.23589    -0.367022  -0.0250055
3.25457    -0.367068  -0.0251448
3.27336    -0.367115  -0.0252841
3.29226    -0.367161  -0.0254235
3.31127    -0.367207  -0.0255629
3.33038    -0.367253  -0.0257023
3.34961    -0.3673    -0.0258418
3.36895    -0.367277  -0.0260214
3.3884     -0.367253  -0.026201 
3.40796    -0.36723   -0.0263806
3.42763    -0.367206  -0.0265601
3.44742    -0.367182  -0.0267396
3.46732    -0.367159  -0.0269191
3.48734    -0.367135  -0.0270986
3.50747    -0.367111  -0.0272781
3.52772    -0.367087  -0.0274575
3.54809    -0.367063  -0.027637 
3.56857    -0.367084  -0.027838 
3.58917    -0.367105  -0.028039 
3.60989    -0.367125  -0.0282401
3.63073    -0.367146  -0.0284412
3.65169    -0.367166  -0.0286423
3.67277    -0.367186  -0.0288434
3.69398    -0.367206  -0.0290446
3.7153     -0.367227  -0.0292458
3.73675    -0.367246  -0.0294471
3.75832    -0.367267  -0.0296485
3.78002    -0.367251  -0.0297993
3.80184    -0.367236  -0.0299502
3.82379    -0.36722   -0.0301011
3.84587    -0.367204  -0.0302519
3.86807    -0.367188  -0.0304027
3.8904     -0.367173  -0.0305535
3.91286    -0.367157  -0.0307043
3.93545    -0.367141  -0.0308552
3.95817    -0.367125  -0.031006 
3.98102    -0.367109  -0.0311567
4.004      -0.367115  -0.0313573
4.02712    -0.367121  -0.0315578
4.05037    -0.367127  -0.0317584
4.07375    -0.367133  -0.0319589
4.09727    -0.367138  -0.0321595
4.12092    -0.367144  -0.0323601
4.14471    -0.367149  -0.0325607
4.16864    -0.367154  -0.0327614
4.1927     -0.367159  -0.032962 
4.21691    -0.367164  -0.0331628
4.24125    -0.367182  -0.0333531
4.26574    -0.3672    -0.0335435
4.29036    -0.367217  -0.0337339
4.31513    -0.367235  -0.0339243
4.34004    -0.367252  -0.0341147
4.3651     -0.367269  -0.0343052
4.3903     -0.367287  -0.0344957
4.41564    -0.367304  -0.0346862
4.44114    -0.36732   -0.0348768
4.46678    -0.367337  -0.0350674
4.49256    -0.36734   -0.0352408
