# Freq.    Re    Im
0.999987   -10.8056   -0.164261 
1.01448    -10.8198   -0.170017 
1.02919    -10.834    -0.175788 
1.04411    -10.8481   -0.181574 
1.05924    -10.8623   -0.187375 
1.07459    -10.8765   -0.19319  
1.09017    -10.8506   -0.184801 
1.10597    -10.8248   -0.176451 
1.122      -10.799    -0.168139 
1.13827    -10.7733   -0.159867 
1.15477    -10.7476   -0.151633 
1.17151    -10.7783   -0.172111 
1.18849    -10.8092   -0.192706 
1.20571    -10.84     -0.213418 
1.22319    -10.871    -0.234248 
1.24092    -10.9019   -0.255199 
1.25891    -10.8728   -0.282162 
1.27716    -10.8436   -0.30898  
1.29567    -10.8145   -0.335655 
1.31445    -10.7854   -0.362186 
1.3335     -10.7563   -0.388573 
1.35283    -10.7618   -0.362682 
1.37244    -10.7673   -0.336766 
1.39234    -10.7728   -0.310825 
1.41252    -10.7782   -0.284861 
1.43299    -10.7835   -0.258869 
1.45377    -10.7877   -0.27172  
1.47484    -10.7918   -0.284582 
1.49622    -10.796    -0.297454 
1.5179     -10.8001   -0.310337 
1.53991    -10.8042   -0.323233 
1.56223    -10.8023   -0.349917 
1.58487    -10.8004   -0.376593 
1.60785    -10.7983   -0.403262 
1.63115    -10.7962   -0.429923 
1.6548     -10.7941   -0.456575 
1.67878    -10.7948   -0.469053 
1.70312    -10.7956   -0.481534 
1.7278     -10.7964   -0.494017 
1.75285    -10.7971   -0.506503 
1.77826    -10.7978   -0.51899  
1.80403    -10.8086   -0.50874  
1.83018    -10.8194   -0.498469 
1.85671    -10.8302   -0.488178 
1.88362    -10.8409   -0.477867 
1.91093    -10.8517   -0.467535 
1.93863    -10.8238   -0.480438 
1.96673    -10.7959   -0.493271 
1.99524    -10.7681   -0.506037 
2.02416    -10.7403   -0.518735 
2.0535     -10.7126   -0.531367 
2.08326    -10.7559   -0.563149 
2.11346    -10.7994   -0.595183 
2.1441     -10.843    -0.627472 
2.17518    -10.8866   -0.660016 
2.20671    -10.9304   -0.692813 
2.23869    -10.8841   -0.732544 
2.27114    -10.8379   -0.771936 
2.30406    -10.7917   -0.810991 
2.33746    -10.7455   -0.849711 
2.37134    -10.6994   -0.888098 
2.40572    -10.7383   -0.85824  
2.44059    -10.7772   -0.828163 
2.47596    -10.8161   -0.797865 
2.51185    -10.8551   -0.767344 
2.54826    -10.8941   -0.736602 
2.5852     -10.8797   -0.754325 
2.62267    -10.8654   -0.772002 
2.66069    -10.851    -0.789633 
2.69926    -10.8366   -0.807218 
2.73838    -10.8222   -0.824754 
2.77808    -10.796    -0.836919 
2.81835    -10.7698   -0.84902  
2.8592     -10.7437   -0.86106  
2.90064    -10.7176   -0.873038 
2.94269    -10.6916   -0.884955 
2.98534    -10.7167   -0.884454 
3.02862    -10.742    -0.883946 
3.07252    -10.7673   -0.88343  
3.11705    -10.7926   -0.882907 
3.16224    -10.818    -0.882379 
