#SA  FB
0.30287     0.30392     
0.30254     0.30393     
0.30193     0.30399     
0.3045      0.30381     
0.30868     0.3039      
0.30316     0.30392     
0.29756     0.3038      
0.30212     0.30403     
0.30229     0.30395     
0.30259     0.30404     
0.29884     0.30404     
0.30122     0.30396     
0.30399     0.30399     
0.3019      0.30398     
0.30178     0.30403     
0.30374     0.30406     
0.30419     0.30398     
0.30206     0.30406     
0.2987      0.30392     
0.3048      0.30398     
0.30523     0.30409     
0.30288     0.3039      
0.30122     0.30396     
0.30459     0.30416     
0.30496     0.30398     
0.30283     0.30406     
0.30055     0.30399     
0.29962     0.30403     
0.30197     0.30389     
0.30384     0.30404     
0.30293     0.30399     
0.29995     0.30384     
0.30216     0.30395     
0.30175     0.30406     
0.30291     0.30406     
0.30064     0.30398     
0.30033     0.30399     
0.30105     0.30413     
0.30285     0.30412     
0.3027      0.30406     
0.3011      0.30413     
0.30396     0.30418     
0.30186     0.30412     
0.3005      0.30403     
0.30189     0.30386     
0.30509     0.30392     
0.30656     0.30406     
0.30073     0.30413     
0.29911     0.3041      
0.30435     0.30401     
0.30024     0.3041      
0.30477     0.3041      
0.30247     0.30403     
0.3007      0.30412     
0.3041      0.30407     
0.30168     0.30399     
0.3034      0.30399     
0.3003      0.30412     
0.3039      0.30416     
0.30323     0.30407     
0.30407     0.30401     
0.30573     0.3041      
0.30009     0.30404     
0.30505     0.30421     
0.30123     0.30424     
0.30157     0.30412     
0.30334     0.30409     
0.30103     0.30409     
0.30254     0.30413     
0.30305     0.30406     
0.3047      0.30416     
0.30222     0.30406     
0.30311     0.30406     
0.29405     0.30406     
0.30561     0.30406     
0.30122     0.30425     
0.30186     0.30409     
0.3054      0.30409     
0.29907     0.30404     
0.30143     0.30415     
0.3005      0.30409     
0.30392     0.30415     
0.30207     0.30415     
0.29971     0.30416     
0.30346     0.30421     
0.30325     0.30403     
0.29998     0.30425     
0.30543     0.30416     
0.30523     0.3041      
0.30222     0.3041      
0.30314     0.30396     
0.30103     0.30416     
0.30367     0.30412     
0.30346     0.30413     
0.30209     0.30407     
0.30122     0.30407     
0.30116     0.30409     
0.30317     0.30396     
0.30158     0.30403     
0.30029     0.30403     
0.30189     0.3041      
0.3019      0.30399     
0.29814     0.30412     
0.30128     0.30413     
0.30671     0.3041      
0.30094     0.30401     
0.30093     0.30406     
0.3001      0.30401     
0.30375     0.30412     
0.30259     0.3041      
0.30279     0.30404     
0.30459     0.30412     
0.30221     0.30404     
0.30102     0.30412     
0.29806     0.30407     
0.30392     0.30412     
0.31393     0.30422     
0.30323     0.30407     
0.30305     0.3041      
0.30396     0.30396     
0.30219     0.30407     
0.30377     0.30413     
0.30172     0.30403     
0.30668     0.30409     
0.30334     0.3041      
0.30189     0.30401     
0.30241     0.30396     
0.30189     0.30409     
0.30345     0.30407     
0.29846     0.30412     
0.30081     0.30398     
0.30377     0.30413     
0.30529     0.3041      
0.30338     0.30415     
0.30129     0.30403     
0.3025      0.30409     
0.30312     0.30412     
0.30102     0.3041      
0.30534     0.30409     
0.30575     0.30419     
0.30276     0.30412     
0.30183     0.30424     
0.30157     0.30418     
0.30296     0.30418     
0.30494     0.3041      
0.30322     0.30415     
0.30073     0.30413     
0.30114     0.30409     
0.30276     0.30404     
0.30247     0.30406     
0.30204     0.30407     
0.30085     0.30398     
0.30306     0.30409     
0.29783     0.30399     
0.29774     0.30403     
0.30386     0.30407     
0.3041      0.30412     
0.2996      0.30406     
0.30412     0.3039      
0.30105     0.30409     
0.30204     0.30407     
0.30287     0.30404     
0.30367     0.30413     
0.30412     0.30418     
0.30146     0.30412     
0.30105     0.30412     
0.30221     0.30415     
0.30287     0.30403     
0.30338     0.30399     
0.30032     0.30406     
0.30009     0.30413     
0.30537     0.30413     
0.30358     0.3041      
0.29951     0.30409     
0.29995     0.30403     
0.30348     0.30413     
0.30404     0.30409     
0.29917     0.30416     
0.30308     0.30415     
0.30497     0.30422     
0.30125     0.30407     
0.30143     0.3041      
0.30047     0.30418     
0.30903     0.30406     
0.30197     0.30415     
0.3068      0.30415     
0.30512     0.30409     
0.30682     0.30415     
0.29991     0.30412     
0.3003      0.30398     
0.3023      0.30403     
0.30334     0.30421     
0.3021      0.30406     
0.30218     0.30407     
0.30361     0.30401     
0.30345     0.30412     
0.29917     0.3041      
0.2996      0.30418     
0.30688     0.30401     
0.3         0.30412     
0.30155     0.30398     
0.30306     0.30416     
0.30497     0.3041      
0.30169     0.30409     
0.30132     0.3041      
0.30506     0.30407     
0.30648     0.30412     
0.3106      0.30404     
0.3023      0.30409     
0.30415     0.3041      
0.29986     0.30409     
0.30184     0.30415     
0.30106     0.30413     
0.30258     0.30412     
0.30261     0.30422     
0.30111     0.30418     
0.30493     0.30403     
0.3016      0.30413     
0.3023      0.30409     
0.30145     0.30413     
0.30558     0.30403     
0.30166     0.30404     
0.30239     0.3041      
0.30363     0.3041      
0.30131     0.30407     
0.30312     0.30396     
0.30418     0.30406     
0.30367     0.30396     
0.30157     0.30398     
0.30319     0.30398     
0.30467     0.30401     
0.30393     0.30399     
0.30221     0.30412     
0.30291     0.30407     
0.30323     0.30399     
0.30302     0.3039      
0.30087     0.3041      
0.30312     0.30412     
0.30316     0.30407     
0.30435     0.30416     
0.30103     0.30404     
0.29752     0.3041      
0.3032      0.30415     
0.29936     0.30418     
0.30337     0.30406     
0.30245     0.30403     
0.30256     0.30404     
0.30291     0.30409     
0.3063      0.30409     
0.30247     0.30403     
0.30482     0.30401     
0.30473     0.3041      
0.30412     0.30412     
0.30102     0.30404     
0.30015     0.30407     
0.3047      0.30412     
0.30285     0.30407     
0.30473     0.30428     
0.3032      0.30409     
0.30497     0.30404     
0.30029     0.30415     
0.30361     0.30407     
0.30639     0.30406     
0.30175     0.30403     
0.30122     0.30406     
0.30224     0.30404     
0.30448     0.30412     
0.3012      0.30399     
0.3025      0.30403     
0.3014      0.30404     
0.3039      0.30407     
0.30079     0.30412     
0.30001     0.30403     
0.30741     0.30403     
0.30035     0.30396     
0.30166     0.30406     
0.30302     0.30403     
0.29983     0.30403     
0.30612     0.30412     
0.30668     0.30409     
0.30412     0.30409     
0.29987     0.30392     
0.30363     0.30404     
0.30305     0.30399     
0.30035     0.30403     
0.30128     0.30409     
0.30407     0.30399     
0.30018     0.30407     
0.30285     0.30419     
0.30428     0.30399     
0.30123     0.30399     
0.30204     0.30409     
0.30636     0.30398     
0.30413     0.30407     
0.30062     0.30398     
0.30341     0.30409     
0.3048      0.30398     
0.30059     0.30399     
0.3009      0.30395     
0.30438     0.3039      
0.30052     0.3041      
0.30001     0.30406     
0.30483     0.30407     
0.30279     0.30399     
0.29919     0.30396     
0.30427     0.30418     
0.29958     0.30395     
0.30169     0.30406     
0.30473     0.30389     
0.30288     0.30415     
0.30026     0.30407     
0.30543     0.30396     
0.30431     0.3039      
0.30584     0.30396     
0.30129     0.30415     
0.30369     0.30406     
0.30407     0.3041      
0.30251     0.30398     
0.3027      0.30403     
0.30169     0.30403     
0.30395     0.30393     
0.30222     0.30404     
0.30293     0.30404     
0.30366     0.30401     
0.30256     0.30409     
0.30338     0.30406     
0.29896     0.30389     
0.30157     0.30404     
0.30625     0.30393     
0.30203     0.30395     
0.30259     0.30398     
0.30532     0.30401     
0.30427     0.30395     
0.30422     0.30396     
0.30378     0.30396     
0.30474     0.30395     
0.29995     0.30401     
0.30058     0.3039      
0.30164     0.30396     
0.29723     0.3039      
0.30433     0.30403     
0.30282     0.30406     
0.29978     0.30403     
0.30377     0.30398     
0.30387     0.30393     
0.30424     0.30403     
0.30183     0.30389     
0.30476     0.30395     
0.29942     0.30392     
0.30055     0.30406     
